"Component,Component Pin,Mega 2560 Pin,Notes"
"DYNAMIXEL Shield,(stacks on headers),(stacks on headers),Shield plugs directly into Mega headers - no manual wiring"
"DYNAMIXEL Shield,DXL Bus,Pins 0/1 (Serial),Fixed in shield hardware - handled internally"
"DYNAMIXEL Shield,DIR,Pin 2,Fixed in shield hardware - handled internally"
"DYNAMIXEL Shield,Servo Power,External supply via barrel jack/terminal,Not powered from USB"
"Servo (ID1/2/3),3-pin DXL port,Shield's DXL ports (daisy-chained),IDs 1, 2, 3"
"SD Card Module,VCC,5V,"
"SD Card Module,GND,GND,"
"SD Card Module,MISO,Pin 50,"
"SD Card Module,MOSI,Pin 51,Use ICSP pin 4 instead if pin 51 socket is damaged"
"SD Card Module,SCK,Pin 52,"
"SD Card Module,CS,Pin 4,"
"MPU6050,VCC,5V,"
"MPU6050,GND,GND,"
"MPU6050,SCL,Pin 21,"
"MPU6050,SDA,Pin 20,"
"MPU6050,AD0,Unconnected,Defaults to I2C address 0x68"
"MPU6050,INT,Unconnected,Not used"
"MPU6050,XDA,Unconnected,Not used - auxiliary I2C"
"MPU6050,XCL,Unconnected,Not used - auxiliary I2C"
"Debug Adapter (optional),RX/TX,Pins 7/8 (soft_serial),Only needed if using external USB-to-TTL adapter for debug output"
