timestamp_ms,id,position,velocity,load,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
=== RUN 68 START ===,,,,,,,,,,
111,1,0,0,0,-3308,728,15104,-666,-276,8
111,2,0,0,0,-3308,728,15104,-666,-276,8
111,3,0,0,0,-3308,728,15104,-666,-276,8
1515,1,0,0,0,5656,6256,14796,-3237,2310,-1195
1515,2,0,0,0,5656,6256,14796,-3237,2310,-1195
1515,3,0,0,0,5656,6256,14796,-3237,2310,-1195
2813,1,3498,0,0,-3660,512,15352,-729,-259,-131
2813,2,3478,1,0,-3660,512,15352,-729,-259,-131
2813,3,3458,0,0,-3660,512,15352,-729,-259,-131
3313,1,3498,0,0,-3148,876,15184,-593,-334,8
3313,2,3478,1,0,-3148,876,15184,-593,-334,8
3313,3,3458,0,0,-3148,876,15184,-593,-334,8
=== RUN 69 START ===,,,,,,,,,,
27,1,3498,-317,0,-3028,852,15068,-510,-169,23
27,2,3350,-337,0,-3028,852,15068,-510,-169,23
27,3,3190,-317,0,-3028,852,15068,-510,-169,23
523,1,2890,126,0,-3100,840,15012,-567,-106,29
523,2,2953,135,0,-3100,840,15012,-567,-106,29
523,3,3023,132,0,-3100,840,15012,-567,-106,29
1020,1,3487,-45,0,-3132,804,14932,-265,-145,182
1020,2,3460,-59,0,-3132,804,14932,-265,-145,182
1020,3,3425,-76,0,-3132,804,14932,-265,-145,182
1519,1,2715,-96,0,-3852,-2332,13184,-2184,322,-391
1519,2,2672,-83,0,-3852,-2332,13184,-2184,322,-391
1519,3,2631,-67,0,-3852,-2332,13184,-2184,322,-391
2016,1,2747,120,0,3212,-348,14568,-4074,-10403,-674
2016,2,2807,127,0,3212,-348,14568,-4074,-10403,-674
2016,3,2876,131,0,3212,-348,14568,-4074,-10403,-674
2511,1,3488,-1,0,8196,-68,13336,-3773,9332,4569
2511,2,3478,-8,0,8196,-68,13336,-3773,9332,4569
2511,3,3468,-35,0,8196,-68,13336,-3773,9332,4569
3005,1,2861,-117,0,-7212,-1296,15044,11811,4530,2268
3005,2,2805,-112,0,-7212,-1296,15044,11811,4530,2268
3005,3,2748,-99,0,-7212,-1296,15044,11811,4530,2268
3498,1,2618,97,0,-3980,4000,23328,-9862,-15055,119
3498,2,2668,107,0,-3980,4000,23328,-9862,-15055,119
3498,3,2725,119,0,-3980,4000,23328,-9862,-15055,119
3990,1,3437,41,0,10416,-736,9036,1170,9306,-592
3990,2,3453,26,0,10416,-736,9036,1170,9306,-592
3990,3,3460,9,0,10416,-736,9036,1170,9306,-592
4482,1,3045,-126,0,-7312,1884,13560,-862,941,-3986
4482,2,2981,-127,0,-7312,1884,13560,-862,941,-3986
4482,3,2917,-127,0,-7312,1884,13560,-862,941,-3986
4977,1,2526,63,0,-5828,1508,12576,9,-7814,1529
4977,2,2562,74,0,-5828,1508,12576,9,-7814,1529
4977,3,2603,90,0,-5828,1508,12576,9,-7814,1529
5469,1,3328,81,0,7932,-1612,14204,1398,10737,-1554
5469,2,3366,71,0,7932,-1612,14204,1398,10737,-1554
5469,3,3398,53,0,7932,-1612,14204,1398,10737,-1554
5961,1,3216,-122,0,-4236,3732,16156,-1145,-1504,-1214
5961,2,3157,-127,0,-4236,3732,16156,-1145,-1504,-1214
5961,3,3091,-131,0,-4236,3732,16156,-1145,-1504,-1214
6457,1,2507,9,0,-5192,120,14692,2196,3070,1443
6457,2,2519,29,0,-5192,120,14692,2196,3070,1443
6457,3,2536,48,0,-5192,120,14692,2196,3070,1443
6949,1,3172,114,0,-3720,-128,15288,-686,-137,44
6949,2,3225,107,0,-3720,-128,15288,-686,-137,44
6949,3,3277,95,0,-3720,-128,15288,-686,-137,44
7440,1,3361,-102,0,-3140,112,14820,-1202,-378,780
7440,2,3310,-110,0,-3140,112,14820,-1202,-378,780
7440,3,3250,-119,0,-3140,112,14820,-1202,-378,780
7936,1,2547,-31,0,-3372,340,15068,-280,-326,123
7936,2,2538,-18,0,-3372,340,15068,-280,-326,123
7936,3,2536,-1,0,-3372,340,15068,-280,-326,123
8427,1,2992,126,0,-3152,652,14288,-1009,-207,-40
8427,2,3055,127,0,-3152,652,14288,-1009,-207,-40
8427,3,3121,124,0,-3152,652,14288,-1009,-207,-40
8920,1,3460,-67,0,-3276,560,15192,-557,-176,39
8920,2,0,0,0,-3276,560,15192,-557,-176,39
8920,3,0,0,0,-3276,560,15192,-557,-176,39
